Sample,Area (µm2),Mean
Smooth,4.65631,7444.5
Smooth,2.32815,6375
Smooth,4.65631,5951.5
Smooth,71.00871,8459.54098
Smooth,2.32815,5624.5
Smooth,11.64077,9211.6
Smooth,1.16408,6746
Smooth,1.16408,6283
Smooth,1.16408,6375
Smooth,2.32815,6236
Smooth,3.49223,8177
Smooth,67.51648,9087.48276
Smooth,6.98446,7123
Smooth,1.16408,6934
Smooth,4.65631,6295.75
Smooth,1.16408,5962
Smooth,1.16408,6189
Smooth,11.64077,8885.5
Smooth,1.16408,5735
Smooth,1.16408,6195
Smooth,1.16408,5511
Smooth,41.90678,10009.38889
Smooth,1.16408,5535
Smooth,1.16408,6952
Smooth,1.16408,5521
Smooth,2.32815,5774
Smooth,10.4767,7294
Smooth,13.96893,7566.75
Smooth,3.49223,6832.66667
Smooth,1.16408,6013
Smooth,82.64948,13232.42254
Smooth,25.6097,6692.81818
Smooth,6.98446,6002.33333
Smooth,11.64077,7034.6
Smooth,5.82039,7595.4
Smooth,1.16408,7234
Smooth,8.14854,6957.28571
Smooth,3.49223,8241
Smooth,1.16408,5531
Smooth,5.82039,8198
Smooth,15.133,8409.84615
Smooth,48.89124,8487.90476
Smooth,108.25918,14397.60215
Smooth,1.16408,6314
Smooth,2.32815,5742
Smooth,5.82039,6071.4
Smooth,18.62524,7116.875
Smooth,1.16408,5650
Smooth,9.31262,6524.25
Smooth,4.65631,6958.5
Smooth,3.49223,5697
Smooth,97.78249,14054.05952
Smooth,1.16408,5542
Smooth,3.49223,7149.33333
Smooth,1.16408,5486
Smooth,43.07086,10552.18919
Smooth,132.70481,10912.38596
Smooth,1.16408,6738
Smooth,48.89124,11661.33333
Smooth,1.16408,5967
Smooth,13.96893,8481.75
Smooth,15.133,7663.53846
Smooth,3.49223,5809.66667
Smooth,1.16408,5826
Smooth,1.16408,6787
Smooth,3.49223,6299.66667
Smooth,1.16408,5486
Smooth,1.16408,5982
Smooth,1.16408,5913
Smooth,1.16408,5989
Smooth,2.32815,6618
Smooth,3.49223,6711
Smooth,52.38348,10479.62222
Smooth,18.62524,7878.75
